tic_id,name,toi,sector,period_days,t0_bjd,duration_hours,depth_ppm,r_star_rsun,m_star_msun,expected_disp
88863718,TOI-1001.01,1001.01,,1.931646,2459987.9489,3.17,1286.0,2.01,1.0,PC
65212867,TOI-1007.01,1007.01,,6.998921,2459247.9307,3.95,2840.0,2.7,1.0,PC
107782586,TOI-1009.01,1009.01,,1.960028,2459229.2309,2.01,1707.6,1.0,1.0,PC
231663901,TOI-101.01,101.01,,1.43037,2458326.0091,1.62,18960.7,0.89,1.0,KP
114018671,TOI-1011.01,1011.01,,2.470504,2460715.8989,2.35,273.0,0.94,1.0,PC
341420329,TOI-1019.01,1019.01,,5.234101,2459232.4469,3.71,20796.9,1.56,1.0,PC
149603524,TOI-102.01,102.01,,4.411937,2460982.0655,3.63,14711.9,1.21,1.0,KP
20318757,TOI-1027.01,1027.01,,3.283456,2460037.869,1.54,1558.0,0.68,1.0,PC
20318757,TOI-1027.02,1027.02,,11.02875,2460032.5332,2.71,1694.0,0.68,1.0,PC
20318757,TOI-1027.03,1027.03,,5.011329,2460032.573,1.02,1210.0,0.68,1.0,PC
336732616,TOI-103.01,103.01,,3.547854,2458327.2526,3.49,10424.4,1.4,1.0,KP
146589986,TOI-1032.01,1032.01,,5.66437,2459283.8287,3.81,3491.8,2.34,1.0,PC
361413119,TOI-1035.01,1035.01,,6.074448,2459286.8726,2.5,5982.5,2.43,1.0,PC
146172354,TOI-1036.01,1036.01,,3.779521,2460037.1723,2.95,2761.0,1.18,1.0,PC
231670397,TOI-104.01,104.01,,4.087296,2460150.6087,5.59,3572.2,2.22,1.0,KP
463402815,TOI-1044.01,1044.01,,1.008509,2460037.1947,1.64,3051.0,1.0,1.0,PC
16288184,TOI-1049.01,1049.01,,2.180533,2458626.8015,2.94,16399.9,1.27,1.0,KP
144065872,TOI-105.01,105.01,,2.184667,2460904.4127,2.7,11535.5,1.24,1.0,KP
66818296,TOI-1050.01,1050.01,,3.735484,2459355.5456,4.14,17030.0,1.57,1.0,KP
317060587,TOI-1052.01,1052.01,,9.139804,2458332.9412,3.09,358.4,1.58,1.0,CP
366989877,TOI-1054.01,1054.01,,15.507786,2460122.7001,4.57,513.0,1.17,1.0,CP
320004517,TOI-1055.01,1055.01,,17.471308,2458661.0627,4.43,1199.8,0.97,1.0,CP
421894914,TOI-1056.01,1056.01,,5.307951,2458326.0624,3.22,391.4,1.37,1.0,PC
323132914,TOI-1057.01,1057.01,,51.17015,2458607.3509,6.66,851.5,0.94,1.0,PC
380783252,TOI-1059.01,1059.01,,9.449654,2460852.8607,2.26,25387.7,0.94,1.0,PC
38846515,TOI-106.01,106.01,,2.849383,2460988.0682,3.55,7740.5,1.77,1.0,KP
299799658,TOI-1062.01,1062.01,,4.115053,2460901.448,1.06,539.0,0.89,1.0,CP
406976746,TOI-1063.01,1063.01,,10.066552,2460844.0292,2.02,862.7,0.79,1.0,PC
79748331,TOI-1064.01,1064.01,,6.443866,2458656.6685,1.93,1122.0,0.74,1.0,CP
79748331,TOI-1064.02,1064.02,,12.22656,2458664.4901,2.19,1206.4,0.74,1.0,CP
7088246,TOI-1065.01,1065.01,,2.160515,2458654.3458,1.48,13774.9,1.2,1.0,KP
201604954,TOI-1066.01,1066.01,,4.606184,2458657.8325,3.12,13793.0,1.07,1.0,KP
201642601,TOI-1067.01,1067.01,,3.131674,2458656.9879,2.46,14915.7,0.77,1.0,KP
6663331,TOI-1068.01,1068.01,,3.180362,2458656.6332,2.11,21192.5,0.92,1.0,KP
31858843,TOI-1069.01,1069.01,,2.977645,2460147.3788,2.96,13022.0,1.22,1.0,KP
92352620,TOI-107.01,107.01,,3.950201,2460176.9933,4.44,13914.0,1.71,1.0,KP
120247528,TOI-1071.01,1071.01,,3.554403,2458655.3941,2.06,10164.9,1.11,1.0,KP
158297421,TOI-1073.01,1073.01,,3.922802,2459036.4728,1.87,31510.9,0.7,1.0,CP
327301957,TOI-1074.01,1074.01,,13.94287,2458662.6527,3.75,1015.4,0.74,1.0,PC
351601843,TOI-1075.01,1075.01,,0.604739,2458654.2495,1.04,1027.7,0.58,1.0,CP
360742636,TOI-1076.01,1076.01,,2.549561,2458654.1633,2.62,14921.4,1.04,1.0,KP
369960846,TOI-1077.01,1077.01,,1.606269,2458654.1027,1.96,16725.3,0.98,1.0,PC
370133522,TOI-1078.01,1078.01,,0.518243,2458654.1033,0.86,831.9,0.39,1.0,CP
379240073,TOI-1079.01,1079.01,,3.164407,2458656.3804,2.06,5603.5,1.72,1.0,PC
289793076,TOI-108.01,108.01,,3.044049,2458328.085,2.65,22807.0,0.81,1.0,KP
161032923,TOI-1080.01,1080.01,,3.965248,2458654.0606,1.01,3680.8,0.2,1.0,CP
253728991,TOI-1081.01,1081.01,,2.984087,2460858.6234,2.91,6014.1,1.24,1.0,PC
261108236,TOI-1082.01,1082.01,,16.346905,2458626.0857,3.59,2212.4,0.65,1.0,PC
322270620,TOI-1083.01,1083.01,,12.980295,2458627.916,2.5,2407.3,0.49,1.0,PC
380589029,TOI-1084.01,1084.01,,1.348496,2458653.9733,2.41,18463.8,1.15,1.0,KP
